user_id,username,password,category,length,entropy
1,charlotte91,CyberDefense#2026,strong,17,12.72541311582026
2,josearias,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
3,pperry,CyberDefense#2026,strong,17,12.72541311582026
4,blakehunter,K8QYD1yaIjsHu;@A,random,16,16.0
5,levypeter,123456,weak,6,0.30102999566398114
6,ericsmith,Bhutan@123,medium,10,8.153364183393595
7,katherineodom,Mountain-River-Sky-92,strong,21,14.635330912608127
8,grobbins,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
9,evansashley,password,weak,8,0.47712125471966244
10,adamalexander,CyberDefense#2026,strong,17,12.72541311582026
11,ahays,Bhutan@123,medium,10,8.153364183393595
12,brian46,Mountain-River-Sky-92,strong,21,14.635330912608127
13,jodicole,correct-horse-battery-staple,passphrase,28,20.330032012866745
14,lucasbrown,CyberDefense#2026,strong,17,12.72541311582026
15,oparker,admin123,weak,8,3.8599784416420206
16,youngdavid,Mountain-River-Sky-92,strong,21,14.635330912608127
17,xsutton,correct-horse-battery-staple,passphrase,28,20.330032012866745
18,milesbilly,CyberDefense#2026,strong,17,12.72541311582026
19,wilkersonchad,PurpleTiger!482,strong,15,9.839100782707153
20,xvargas,CyberDefense#2026,strong,17,12.72541311582026
21,deborah70,qwerty123,weak,9,2.342422680822206
22,parsonsangela,admin123,weak,8,3.8599784416420206
23,tyler57,correct-horse-battery-staple,passphrase,28,20.330032012866745
24,chadjones,CyberDefense#2026,strong,17,12.72541311582026
25,porterjerome,football2025,weak,12,5.352825441221973
26,nicholscatherine,Coffee#99,medium,9,5.7795964912578235
27,tony66,aS<VsvSv_y$#joKK,random,16,16.0
28,emurphy,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
29,phillipsryan,@=(_ejoHtzBN02_J,random,16,15.67024586235392
30,debbiewatson,Denyel2005!,medium,11,9.531478917042254
31,bauerjeffrey,fuMP@uN9)K:2hpF=,random,16,16.0
32,thompsonlynn,"||e(""3Bb0GmVTn-f",random,16,16.0
33,tylergeorge,Denyel2005!,medium,11,9.531478917042254
34,ksmith,Bhutan@123,medium,10,8.153364183393595
35,umedina,$ex^!R!V#]Nb6)O1,random,16,16.0
36,brittanychurch,Mountain-River-Sky-92,strong,21,14.635330912608127
37,ronaldmcclain,football2025,weak,12,5.352825441221973
38,elizabethkerr,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
39,antoniowashington,password,weak,8,0.47712125471966244
40,staceydean,Bhutan@123,medium,10,8.153364183393595
41,reynoldsstacey,Bhutan@123,medium,10,8.153364183393595
42,morenojames,.'}ma8cG|uM.>b^&,random,16,16.0
43,daniel10,Coffee#99,medium,9,5.7795964912578235
44,antoniothompson,PurpleTiger!482,strong,15,9.839100782707153
45,jenniferthompson,password,weak,8,0.47712125471966244
46,lthomas,Coffee#99,medium,9,5.7795964912578235
47,perezjaime,Bhutan@123,medium,10,8.153364183393595
48,murphyjames,admin123,weak,8,3.8599784416420206
49,john30,admin123,weak,8,3.8599784416420206
50,shahsandra,Denyel2005!,medium,11,9.531478917042254
51,nmaynard,Mountain-River-Sky-92,strong,21,14.635330912608127
52,omartin,123456,weak,6,0.30102999566398114
53,ogregory,uO*]J)'n-5RovVo`,random,16,16.0
54,ryanharris,"(AM,f1K~N2ec#m""^",random,16,16.0
55,melindamarshall,Mountain-River-Sky-92,strong,21,14.635330912608127
56,mcfarlandjack,Mountain-River-Sky-92,strong,21,14.635330912608127
57,mcdaniellorraine,Summer2026!,medium,11,7.441066406639263
58,tbryant,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
59,davisclaudia,Summer2026!,medium,11,7.441066406639263
60,brianna83,Bhutan@123,medium,10,8.153364183393595
61,brandon42,Coffee#99,medium,9,5.7795964912578235
62,boonefranklin,Mountain-River-Sky-92,strong,21,14.635330912608127
63,zfreeman,CyberDefense#2026,strong,17,12.72541311582026
64,brayscott,password123,weak,11,2.775246259740236
65,andersoncarol,"dm'FhB3Y5""r5N^mB",random,16,16.0
66,juanphillips,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
67,bonnie42,admin123,weak,8,3.8599784416420206
68,jphillips,Coffee#99,medium,9,5.7795964912578235
69,scott15,CyberDefense#2026,strong,17,12.72541311582026
70,john90,AjO/!6El&I`46TB3,random,16,16.0
71,pennyclements,Coffee#99,medium,9,5.7795964912578235
72,lisalove,123456,weak,6,0.30102999566398114
73,robbinsjeremy,Mountain-River-Sky-92,strong,21,14.635330912608127
74,josephli,123456,weak,6,0.30102999566398114
75,emilyford,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
76,thompsonlindsey,{YhS\H*DN?Z}LjxB,random,16,16.0
77,william36,Coffee#99,medium,9,5.7795964912578235
78,james08,CyberDefense#2026,strong,17,12.72541311582026
79,megan87,Coffee#99,medium,9,5.7795964912578235
80,bradyevelyn,Mountain-River-Sky-92,strong,21,14.635330912608127
81,evangreer,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
82,georgemartinez,Denyel2005!,medium,11,9.531478917042254
83,pzimmerman,Bhutan@123,medium,10,8.153364183393595
84,ricardogardner,password,weak,8,0.47712125471966244
85,jnewton,PKRyDB2p#]9_cr|},random,16,16.0
