user_id,username,password_hash,category,algorithm
1,raymond79,"$argon2id$v=19$m=65536,t=3,p=4$DUl+VBA8Jr9QDKTZm3VaTw$gGGQpKcW4biXoUsnZrIoAlgx2/qGy/Zl9xbqeluGzyw",passphrase,argon2id
2,nblackwell,"$argon2id$v=19$m=65536,t=3,p=4$hhW7fL2fYOWfJttWUG8WIw$Dm8uH1iu06vP8ZzaLZ2IVXeHCCN4I1B685ZXFtl/L6c",strong,argon2id
3,cherylroberts,"$argon2id$v=19$m=65536,t=3,p=4$zTXran4wQdtoOiK0afkqjQ$pkNwxoqpNRk8y3AfJHW04v58TDW8uIuXei1TbSK6TqM",random,argon2id
4,vcobb,"$argon2id$v=19$m=65536,t=3,p=4$h02UBz57nF7vl9QPAgKtOw$D1NmP+NR/NUxIewU+dOI2Wl+h8T0s2Q2HyDrK6N5LEU",random,argon2id
5,jose49,"$argon2id$v=19$m=65536,t=3,p=4$zunRThqetvZoDKF/l13sxQ$NbRDnRNexUqy5UjsQTcaaZDTag2m9IPwC3RXSJjlNcw",strong,argon2id
6,carrie43,"$argon2id$v=19$m=65536,t=3,p=4$9Brq2rC4aeIyxFkEV4gCZw$hKni/twa76puyfeCeYz2QNLs3ZFh9UldUyYteN1nt/Y",medium,argon2id
7,cclark,"$argon2id$v=19$m=65536,t=3,p=4$IWBzTPvieZzTry5r2gTkdw$ulSS+I1fVjSX/3gOXp0RW6tuzbXPk0HSIT4ZlUCnLWI",passphrase,argon2id
8,haleymcmillan,"$argon2id$v=19$m=65536,t=3,p=4$9rL3m/3b2j9TuJtKXu7y1Q$AtdN9c3Yyw9RTXH7c5HCSh8cf5TQ/4m0Xyfa72Gej4o",passphrase,argon2id
9,olsonsherri,"$argon2id$v=19$m=65536,t=3,p=4$9nkg9CPNqhJQcaYGgies8Q$vvlCHbFwOtoQQ207/efjlp+pLrHD75eRKRYn7vEoUYY",strong,argon2id
10,martinezmelinda,"$argon2id$v=19$m=65536,t=3,p=4$rRaIwQsQ9kaJbRyRB2tMLQ$k8rLauzQlwTkAgTuZKS1mncVpCjbbnQnT8sYEUprSfo",strong,argon2id
11,vnichols,"$argon2id$v=19$m=65536,t=3,p=4$Tg1Ctqhj/kHwqIptQYEIBQ$mqOfhYmmkxbEMYS2sisW/xJFW8ZXoR6dCxyfvNI4Ox0",random,argon2id
12,brentjohnson,"$argon2id$v=19$m=65536,t=3,p=4$wiEGJh9afFyg9NOJIGz3bA$7WjaGACBvkFeNXW5klJr/Iz+0JGSMc/erQeKMoyVmvo",strong,argon2id
13,nsmith,"$argon2id$v=19$m=65536,t=3,p=4$CUZodTlSRiJVwA1fkh8Ylw$9zH7wVBamJOgem7+FYk4z2L6U7s5Q9xHGuq/qrsfPZ8",medium,argon2id
14,bgarcia,"$argon2id$v=19$m=65536,t=3,p=4$uAniz+tcpc+9AisRAjXxIg$J9dtILNFS5L9zWuf4wbmIBGmv8rt5RfCHXuMnY8li0M",medium,argon2id
15,pclark,"$argon2id$v=19$m=65536,t=3,p=4$kant7D4H1uw3HtcDRQrgNQ$d2Mno4dm3CAAo37VzND7u6g47/CzYiv0kRNgZk/LT0M",random,argon2id
16,david92,"$argon2id$v=19$m=65536,t=3,p=4$9Tlno8sjt15vNyT+lkjiRQ$f+u9kWvQP5b0dEVF7pylT1UORIBM4vl2WQnV/75hBSY",passphrase,argon2id
17,cynthiamyers,"$argon2id$v=19$m=65536,t=3,p=4$M7xySoeVNPOHScYsS8PloQ$lCZxFM+lNsRaM1kBaZZiWzztqKOOE+M1xG2516pWDHk",passphrase,argon2id
