user_id,username,password_hash,category,algorithm
1,raymond79,$2b$12$RkBaPcMStQhvgbo5/jXS7eNFQziFaSoBNgxiZf6OVsd/ueeIi.YQu,passphrase,bcrypt
2,nblackwell,$2b$12$IWOlVhoUfS486/61Kbibb.yfAKpeL7w5e1RbEy6BsOSAXf.XvqOXi,strong,bcrypt
3,cherylroberts,$2b$12$jmeSKEY0ZsQtpzoKxBXmwuKVTJQ67m2iKWa8ISamumwkadtV9THI6,random,bcrypt
4,vcobb,$2b$12$HWKKzlOCl0a8P0mC9SsGF.rdErpvOG3NmdjYJwiJ21YNC790SU3nq,random,bcrypt
5,jose49,$2b$12$kihp0cCE7A60VfzjyoW9ZOj.DLFZ51zO0XaSjljGFiVKbLWMsU.AG,strong,bcrypt
6,carrie43,$2b$12$UQy9K8zHmIE5AqXnhQSZ1.9FhYz58eK6Yb2vmWOMXITMqPmwmjmkK,medium,bcrypt
7,cclark,$2b$12$FNsdwLmr7xmg6wFpMt1qKu9O038LnLcXaAA0ikGAzBNeuXwb7vY/O,passphrase,bcrypt
8,haleymcmillan,$2b$12$HKGNM4svy7q/3AUuUnIa2e6Hg6BNsNFwjpMNoqDLhaqIh6HMfIn9C,passphrase,bcrypt
9,olsonsherri,$2b$12$Wr1M.ReAnq6Hq4d78frO7OhB2sYxmArlRqe8ATL3AzcSm5fAm5FKG,strong,bcrypt
10,martinezmelinda,$2b$12$1EPnc7RZnXYoRNenADzut./q.F1074KVjzu0yPd.Id2ufbN.qizOC,strong,bcrypt
11,vnichols,$2b$12$DeGwotFqQZ/J0yZwnE4oCu.cu/avDozndoDn2Xopb6IkHphSkW1qi,random,bcrypt
12,brentjohnson,$2b$12$js9vE8t//KM/pnkhXdoTYexwbLk7PC40zuvEZ3ouPdQHImoDUJXv2,strong,bcrypt
13,nsmith,$2b$12$vDHUTyaM3bKVugBCgk9b1O.3N1QyXgG.3Syyk64QY2C2BTr6dpXnu,medium,bcrypt
14,bgarcia,$2b$12$j1jvvFAQTwVoEu2Rg8prJ.Fo14kGApXjYVcVtMfhKi1GXrJNtk3Su,medium,bcrypt
15,pclark,$2b$12$fx5OOdAlqcV5GKVDIqNxEe/3DFxBNSSZcgWiXVf9naUWy7spY3K0K,random,bcrypt
16,david92,$2b$12$cXuQ5PusLmAUsGIeANQ6ke8YqSacwb2h.dh.IxjF27BELn2meJBJK,passphrase,bcrypt
17,cynthiamyers,$2b$12$jaSOkvAyH4ODtfFDv5aV/OEI7Ivs55yHOMpFFVPYk07qj8OxGwzTK,passphrase,bcrypt
18,xsummers,$2b$12$Ncj6FxyWw4Se0svDnXQ9ieKhfkTbMhqosm7wsth95voTicAgcgcB.,weak,bcrypt
19,kathryn69,$2b$12$CdnaLSeGXvKiG3S.TywLeO2ZaUMCwbDYz/gts.lVSz5zIMCNDOwd2,medium,bcrypt
20,osolis,$2b$12$DyRAi96O.Mj9mOiK.6BezOC7pp38Gb/i1CmvmoYBFfA5V3e/Q6Mx.,medium,bcrypt
21,paul97,$2b$12$2ODdoG3JHljiUJQY8aOTBOirv72PAIP4kvo653QGPIWnjRsm3S5PO,strong,bcrypt
22,cynthia45,$2b$12$AyM2WH7J7EP/UJoEV5alHOlSdV4r9dUl8jRfGq8VSRaTuW63dzQ2G,strong,bcrypt
23,philip95,$2b$12$i.2NQmQejQR5LkgpvWAqz.J5NJ05RkBuCyOYO7hhgmrzBK8TfLOT.,passphrase,bcrypt
24,juliebutler,$2b$12$btyMs4JjSSWiC4k2.XcIVOQziquEu9f6A9pnFMVyDDT6VeO59haxS,weak,bcrypt
25,annette99,$2b$12$0YK0UBRbA7N50X7f8Mc7huCR4vHPJrYAsJ42vcFE2kzmJtc6NGGyC,random,bcrypt
26,diamond89,$2b$12$VxhZIhdBpmzwm4ct4a7f8eifBnTp1UgWsMjV4qPUmTUB.BvYyWfGG,medium,bcrypt
27,ryanphilip,$2b$12$EvWtgLXZ5obW.JE0P6zxquTUqdGo0LUEOtUQ2Hu3FNDRssAgB6SDm,random,bcrypt
