user_id,username,password_hash,category,algorithm
1,raymond79,c6d3e16fc248a48dc346e728d42d4536,passphrase,md5
2,nblackwell,5efeede6b910a428ede69de1e1f64bef,strong,md5
3,cherylroberts,e00915d379a17253f69331fd117b7d42,random,md5
4,vcobb,3926a7f438fa938d452a1d2f08b249d0,random,md5
5,jose49,84b37acb2bec3ec30c39a416738fa03b,strong,md5
6,carrie43,601a19e95a4f7c25a5dd68bda663de77,medium,md5
7,cclark,e37cb84a614727b0ad7ad1e172d255fe,passphrase,md5
8,haleymcmillan,db32300c9490782e4ef7177a2f3d0724,passphrase,md5
9,olsonsherri,c1eca9fc379900b2607ff0905e95d126,strong,md5
10,martinezmelinda,20833888309c80eef17070b3744a0def,strong,md5
11,vnichols,898b801bb906469a96c61c741623ceae,random,md5
12,brentjohnson,153ab82b8d99d2541f45beae7646970e,strong,md5
13,nsmith,6cc9c41c77135abd332f91a79e2e48a2,medium,md5
14,bgarcia,a4b3b69aaf66b9c9bd3fb30559bbd40d,medium,md5
15,pclark,e1fc122f70c4da1e7d0a430254a4b57e,random,md5
16,david92,3eec5254eb77334fcfb247f0a8d50df7,passphrase,md5
17,cynthiamyers,04f46875053fbff24ba74978555860d0,passphrase,md5
18,xsummers,0192023a7bbd73250516f069df18b500,weak,md5
19,kathryn69,eb1282518ca2533f89ec961b327e7ab1,medium,md5
20,osolis,9c58c1bf839930e6fec80d3dee48c04e,medium,md5
21,paul97,4db56e6b8d095c08a20e87f6b645f475,strong,md5
22,cynthia45,ecb4a27a70b51f6a65f05be95201d029,strong,md5
23,philip95,3b3a66d346e0d795a6897fd720d555b7,passphrase,md5
24,juliebutler,0192023a7bbd73250516f069df18b500,weak,md5
25,annette99,8adc2eb83b29d5422e4f9b22be30c8c7,random,md5
26,diamond89,1a88d6da24f9cb734b20d17d6628eb74,medium,md5
27,ryanphilip,27a96adb53f1f00116ceaddfdff1ce6a,random,md5
28,ramosrebecca,4116d316058ee0f76e3cd4622a708d0c,medium,md5
29,katrinaking,3fc0a7acf087f549ac2b266baf94b8b1,weak,md5
30,jesus59,e1624adb0b9f0423b5b66bc91d03ac55,random,md5
31,polson,17b13ced49cbbb35d6eb21b912fb7d9b,strong,md5
32,jorge90,f1b6b8e4d9a05684559c5a5fedcfb9ba,medium,md5
33,millerleslie,bc530a92ffe629af95d9720d2d26ac18,random,md5
34,omiller,de807e56228653d4eaa0ca765dcb660d,strong,md5
35,leslie87,0192023a7bbd73250516f069df18b500,weak,md5
36,mgreen,35d0d07668ea02d2a70aeef735801130,random,md5
37,patricialindsey,0a0b542e80b78be77152f039e376b508,passphrase,md5
38,christophercharles,30d520de61bd032ebe9e65dd00b7ab71,random,md5
39,christensenandrea,e004d7962fcd728af38e8274754891f3,random,md5
40,brocha,a753f5473e3c89c6e6d17fa402a1dcf0,passphrase,md5
41,ronald39,44539f8aa5ff82b803160b9c92ec3dc1,random,md5
42,julie58,e55935c0f1e6b384669fdbc023bd5900,passphrase,md5
43,hannah72,a4b3b69aaf66b9c9bd3fb30559bbd40d,medium,md5
44,ohuang,dba6427564a6a062c214499008dbb38d,passphrase,md5
45,anita52,024a3aa012a84eda3d157c6e2360c76b,random,md5
46,george02,a1203949ce1e5411cba4b1eaee9364bb,passphrase,md5
47,zlee,76779ea2b1065bfc456ba7ba43c72f45,random,md5
48,eric99,17ae0a3cc6c19b8f218287add67e2777,random,md5
49,awilson,5be2ce79e985531234299e1f2d04bbfb,random,md5
50,lisa75,9cc4f393fc808bd938f5551d4191d49a,weak,md5
51,lauragonzalez,863ae7c1af4a4d43732a1e63c52e537a,passphrase,md5
52,ufuller,57f80f9713ef61ffa9b8cecb67430738,passphrase,md5
53,gregoryreid,0a5e657b74a7a0410b5737bc009913e6,medium,md5
54,goldensherry,330e5a459f85ac6f840e90aba726df51,strong,md5
55,fitzgeraldmitchell,28bb907be6fa50fc595e7c3c23a8c1fa,medium,md5
56,gregorycordova,775bb7589a866f7709b6a1548ae91f84,strong,md5
57,brettthompson,c28a255f989a04150ebc6ba80e3caf31,medium,md5
58,smithshannon,8a10c3c567c956ca766601a7d9191ed4,medium,md5
59,ydaniels,789d45a5bb984c343f2aa0b31afcc1ab,strong,md5
60,mhuynh,83100e5fdefc3cf6d37fa9e72ff8d410,passphrase,md5
61,gardneramanda,8f51cf67ee00b4cc8352b07c566b9447,passphrase,md5
62,zimmermansherri,9cc4f393fc808bd938f5551d4191d49a,weak,md5
63,bcook,2077621e53609ee542bc84cadd55ea16,medium,md5
64,ebrown,483326584d09cb816acecfef9c2e37cf,strong,md5
65,qthomas,482c811da5d5b4bc6d497ffa98491e38,weak,md5
66,charris,e3382415bcd473767b8669451bded760,strong,md5
