user_id,username,password_hash,category,algorithm
1,raymond79,1493332557ffd6e7a28e2e73ed731e322bbd9f2e609a17e621ee83d2e2f10b17,passphrase,sha256
2,nblackwell,190a3fee76ec98bde0764c9e4df94ae2730bb44fa11201f31f609e1783721237,strong,sha256
3,cherylroberts,f6004917c704263f4a73710c21a21f36b61bb179173104ffa5ee3e128eb1abe9,random,sha256
4,vcobb,e1c5d26d39d1f5744df9422d82cf0aa9962f599735d136e4b8515b570377f5bb,random,sha256
5,jose49,6cf7b95233193079f9d4af8425d968d870a72d7d4ac75cd9bf82a15ac85bea16,strong,sha256
6,carrie43,6172be22db33b890b66a9765f007af214cfef70d8534b56a1c8785c66ee3b80e,medium,sha256
7,cclark,4c200cfbee61a51afc61e58a92c10616b7f5072b054638d270fc85c673fe1d60,passphrase,sha256
8,haleymcmillan,8ec4bfcbaa0a1442436cada1bbab87c08789ecd8956dd3546590f66b94ec2135,passphrase,sha256
9,olsonsherri,7f8a40c6cbdc60c5011883c3ace0575f081d72cac75788f1fa8bd94eb85c91bc,strong,sha256
10,martinezmelinda,d955ca1b101878b557c2bc83c1849a9df63930a890c2a6c87b4d6df303aff64a,strong,sha256
11,vnichols,9bd7eef2c7e7d039e728a4226086caed64235a8bc2d5e48caa57f0b991e02c0b,random,sha256
12,brentjohnson,a591e582bafa2085b7391a1e56590afce22ea9261d009c4703bffbab7880e976,strong,sha256
13,nsmith,87f1b476deebf7c003370892b3fbdc2983aa0d6734ee48e3b725c53ea67c1b1f,medium,sha256
14,bgarcia,5914c220f4bd3a90bab2d1a2c4dca48c0d6989f80d7f36d9b4f2a97e7d09fb87,medium,sha256
15,pclark,af19d35ec5270681cbe49a714d06a53ce79cb506a0011237d3a32082f543a4cf,random,sha256
16,david92,39eb74b8b2d6c51e240289d473f90af83cb2dd70af30988e90c9d9401a4332db,passphrase,sha256
17,cynthiamyers,a74681f286cfd0b9a559200272c3f3f35b0af08a80b41bb2410f8f0b360ebc77,passphrase,sha256
18,xsummers,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,weak,sha256
19,kathryn69,0fdcdc5526abbb004d2cf7548a2338105d625e9dc6f993cee6245d8ca9bc2e49,medium,sha256
20,osolis,48da20e9291d4149520772b56e2e2799b83f7dccf31f923aaf9634a8d394ff1f,medium,sha256
21,paul97,dadc5390e81707ac69c863da1cfa6245c56fcc81fb3132200eb5addf277a69b9,strong,sha256
22,cynthia45,0a24e229f15e8373e170f1d5dd10ba8a04a30e00784fb950428da5983b700c58,strong,sha256
23,philip95,4bc0d9836d5289e507404a3149671f2356f6833683c7f33f30189336c729349d,passphrase,sha256
24,juliebutler,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,weak,sha256
25,annette99,e3300812f42d2b9dddde81290e5cb9790914156a6e294f3613452e5d4221abc9,random,sha256
26,diamond89,98c2f6cc5760b623505f22d1d749b0a347825a1ea4783967dec9d4ff48862416,medium,sha256
27,ryanphilip,313ced90295f3c096b7ebda06c1831769f69d3b8e1f02e06421790d42b1f3dc8,random,sha256
28,ramosrebecca,70eae54388f3dc7213bc52896b13d710be4c61c073a50d9a1c669c4a6ca71b30,medium,sha256
29,katrinaking,daaad6e5604e8e17bd9f108d91e26afe6281dac8fda0091040a7a6d7bd9b43b5,weak,sha256
30,jesus59,8dfa85130cbff573695671f5389f38fc52635370aaa3b0904c7808aecbc913b7,random,sha256
31,polson,6d90da5a073e7f0b234792ace90cd337fc53b1da797ae6a5d80472e9e5268864,strong,sha256
32,jorge90,3c2822d7529df1687604ca67f3516e74aabf35292d9f38dc34d246096c105d2a,medium,sha256
33,millerleslie,12943b07c4b7e77c43aa6fd0555f6df6f0edf11433492d6def4be2f2516119f8,random,sha256
34,omiller,d59fe392e89b7ef3e62ce6baf941160a5f70adf00a96f09671020173cc77bffa,strong,sha256
35,leslie87,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,weak,sha256
36,mgreen,a1e91090d2852d754ec2df92bfbf53d695561127add45f872b731d290465ecd5,random,sha256
37,patricialindsey,cc9fb62c5bf30a845fd1dd27a98993ae4e37fda1eee959801f50f0f40e3ea956,passphrase,sha256
38,christophercharles,50559e3061aafdde5f9ec9dcab61200910c3fd2feabb03fa37e12a61774ac937,random,sha256
39,christensenandrea,c8d5315785575068c94914d4a1ea3855cb46bdbf43e850dda12466af233fc85b,random,sha256
40,brocha,dfa9963758ac860b9269ae35acaefe17300b8afa41ed58529c59560445a9b22a,passphrase,sha256
41,ronald39,3a41fe167f9ad65ee47499f32adfcbd2eba3fa61fe5739c21f0e0623300128c3,random,sha256
42,julie58,875d75101aed5226a70df7f8825a571c505a0beceb01e9c652b48b5a0fba9e6d,passphrase,sha256
43,hannah72,5914c220f4bd3a90bab2d1a2c4dca48c0d6989f80d7f36d9b4f2a97e7d09fb87,medium,sha256
44,ohuang,5ff53311cd5703a8d6db996686d42bd9b04bf5b78ed74721bb1748e81829c2df,passphrase,sha256
45,anita52,cf31c2cad16d5b9c622caf637006d21c4a723c8f08b451dbdaf4b8ced090337f,random,sha256
46,george02,3871106db572f4f8bfac976405399387bc7bb8f65d36028bc9710ea7df1ae139,passphrase,sha256
47,zlee,8f67632afcc231116e5b14ff43d663a5f16441889eceb06121f92a1e4b7f30b4,random,sha256
48,eric99,cc292d09a1fdba838ab860d08e836b36a8067df7762e42031bb15c6958c33356,random,sha256
49,awilson,fb057595378e0618f6471e125f091025f4c65cbc2d031a30f1959d98042bd202,random,sha256
50,lisa75,34cf747aaeebba09ac9511b8aab975d7a2c363429ac5148d2c9ff7e6eb17d5c3,weak,sha256
51,lauragonzalez,b54be0a2e83d623a125953668908e1d4adc5cb5b847be769a0424680822aeded,passphrase,sha256
52,ufuller,84a41815797f3c7eec0f431a89db47fb280f1f46b35e9da542a8b3497f41745a,passphrase,sha256
53,gregoryreid,91d3d2d6fc9fadae8675977a0189c7a62e63ddd01802ec611e80679064ce9b0b,medium,sha256
