username,recovered_password,category,algorithm
xsummers,admin123,weak,MD5
juliebutler,admin123,weak,MD5
katrinaking,qwerty123,weak,MD5
leslie87,admin123,weak,MD5
qthomas,password123,weak,MD5
sarah55,admin123,weak,MD5
michael51,123456,weak,MD5
daniellekline,admin123,weak,MD5
zbutler,password,weak,MD5
campbellmichelle,admin123,weak,MD5
stonejuan,password,weak,MD5
sherry03,qwerty123,weak,MD5
chandlerbrittany,admin123,weak,MD5
egonzalez,password123,weak,MD5
jacksonthomas,password,weak,MD5
joshua07,123456,weak,MD5
grace28,admin123,weak,MD5
dawngarcia,password,strong,MD5
crystalmartinez,123456,weak,MD5
woodwayne,qwerty123,weak,MD5
brookswendy,admin123,weak,MD5
joseph69,qwerty123,weak,MD5
smithmargaret,admin123,weak,MD5
elizabethdickerson,password,weak,MD5
ttownsend,password123,weak,MD5
zramirez,password123,weak,MD5
vburton,qwerty123,weak,MD5
elizabethsolomon,qwerty123,weak,MD5
yrobinson,qwerty123,weak,MD5
craigliu,123456,weak,MD5
manderson,password,weak,MD5
sharon15,qwerty123,weak,MD5
tonyconley,123456,weak,MD5
harveykristina,password,weak,MD5
johnsonjohnathan,admin123,weak,MD5
sean47,qwerty123,weak,MD5
patricia02,password123,weak,MD5
uwood,123456,weak,MD5
zbennett,password,weak,MD5
mckenziejoseph,password123,weak,MD5
kathypatel,123456,weak,MD5
campbellmelissa,admin123,weak,MD5
gadams,password,weak,MD5
wruiz,123456,weak,MD5
johngonzalez,123456,weak,MD5
djohnson,123456,weak,MD5
troy88,123456,weak,MD5
alvin80,password123,weak,MD5
tammy45,123456,weak,MD5
bobby08,123456,weak,MD5
rwarner,qwerty123,weak,MD5
victoria81,123456,weak,MD5
kevinrussell,123456,weak,MD5
thompsonchristopher,admin123,weak,MD5
yroth,password123,weak,MD5
shelly13,password,weak,MD5
richardgallegos,password,weak,MD5
lindsay80,admin123,weak,MD5
annettegreer,password123,weak,MD5
oshannon,admin123,weak,MD5
richardellis,password123,weak,MD5
katrina36,123456,weak,MD5
whitneypennington,password,weak,MD5
marcus91,admin123,weak,MD5
john57,qwerty123,weak,MD5
sharonmoore,qwerty123,weak,MD5
samuel66,admin123,weak,MD5
mckeejulia,password123,weak,MD5
christopher24,password,weak,MD5
robert17,admin123,weak,MD5
danielflores,password123,weak,MD5
sharonwilliams,password123,weak,MD5
robertsdenise,password123,weak,MD5
kbrooks,password123,weak,MD5
lauramartin,password,weak,MD5
evansjenny,password123,weak,MD5
mannmaria,123456,weak,MD5
andrew80,admin123,weak,MD5
brookeadams,password123,weak,MD5
michaelwilson,admin123,weak,MD5
aglover,qwerty123,weak,MD5
karen47,password123,weak,MD5
santiagoamy,qwerty123,weak,MD5
danaflores,admin123,weak,MD5
enguyen,password,weak,MD5
bridgetwang,123456,weak,MD5
david49,admin123,weak,MD5
hawkinslee,123456,weak,MD5
tammygarcia,password,weak,MD5
thomaskristi,123456,weak,MD5
wreed,qwerty123,weak,MD5
williamscynthia,password123,weak,MD5
baileyandrew,password123,weak,MD5
katelyn78,password123,weak,MD5
schaeferdonna,123456,weak,MD5
charlene55,password123,weak,MD5
michaelgriffith,password,weak,MD5
cortezjames,password123,weak,MD5
uvasquez,qwerty123,weak,MD5
sanchezclaire,password123,weak,MD5
fishersandra,password123,weak,MD5
cohenregina,password,weak,MD5
johnstonnicholas,admin123,weak,MD5
james70,password123,weak,MD5
stephaniemack,qwerty123,weak,MD5
kellyray,password123,weak,MD5
whitakerapril,qwerty123,weak,MD5
fclark,123456,weak,MD5
kmurray,123456,weak,MD5
emily11,password,weak,MD5
fharris,admin123,weak,MD5
gonzalesjulie,password123,weak,MD5
bryce21,password123,weak,MD5
hdean,password123,weak,MD5
laura50,admin123,weak,MD5
htaylor,password,weak,MD5
xdoyle,123456,weak,MD5
jlopez,admin123,weak,MD5
yjohnson,password123,weak,MD5
ronaldgrant,password123,weak,MD5
gregory72,123456,weak,MD5
alexdaniel,qwerty123,weak,MD5
smallelizabeth,password123,weak,MD5
tammy01,qwerty123,weak,MD5
coffeymichael,password123,weak,MD5
kathryn64,password123,medium,MD5
christopher76,qwerty123,weak,MD5
breanna21,password,weak,MD5
angelagomez,123456,weak,MD5
keithweber,password,weak,MD5
timothy14,123456,weak,MD5
adamsdrew,qwerty123,weak,MD5
droach,password,weak,MD5
susan72,qwerty123,weak,MD5
craiganderson,123456,weak,MD5
michael23,password123,weak,MD5
gonzalezkeith,admin123,weak,MD5
mshields,password,weak,MD5
loganwanda,password123,weak,MD5
pamelahaley,qwerty123,weak,MD5
deanclark,password123,weak,MD5
derrick52,qwerty123,weak,MD5
drakedominique,password123,weak,MD5
richardgreen,admin123,weak,MD5
jessicamullen,password123,weak,MD5
montoyaseth,admin123,weak,MD5
jonesjennifer,qwerty123,weak,MD5
fbryant,123456,weak,MD5
maria36,123456,weak,MD5
thomasjensen,password123,weak,MD5
hogancarlos,password,weak,MD5
alec67,password,weak,MD5
scooper,qwerty123,weak,MD5
lisataylor,password123,weak,MD5
karifloyd,password,weak,MD5
eric61,qwerty123,weak,MD5
wmontoya,password,weak,MD5
palmerjose,qwerty123,weak,MD5
kathrynpowell,123456,weak,MD5
turnerashley,123456,weak,MD5
xromero,123456,weak,MD5
lgonzalez,qwerty123,weak,MD5
qjackson,admin123,weak,MD5
sbenton,123456,weak,MD5
cdavis,password,weak,MD5
tyronemcfarland,123456,weak,MD5
barrycook,admin123,weak,MD5
hillwilliam,password,weak,MD5
chasejason,password123,weak,MD5
peggysmith,admin123,weak,MD5
angela48,admin123,weak,MD5
rachel12,qwerty123,weak,MD5
